(base) fredcui@hahayun:~/Projects/holdse/code$ tail -f logs/full_training_hold_bottle2_itw_stage1_50to150_*.log | grep --line-buffered "Avg loss"
2025-11-13 07:33:23.549 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 93] Avg loss: 0.187888
2025-11-13 07:39:08.034 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 94] Avg loss: 0.187097
2025-11-13 07:44:52.211 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 95] Avg loss: 0.187376
2025-11-13 07:50:37.501 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 96] Avg loss: 0.187447
2025-11-13 07:56:27.122 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 97] Avg loss: 0.186243
2025-11-13 08:02:12.710 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 98] Avg loss: 0.187180
2025-11-13 08:07:58.599 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 99] Avg loss: 0.188008
2025-11-13 08:13:44.195 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 100] Avg loss: 0.186419
2025-11-13 08:19:28.561 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 101] Avg loss: 0.186570
2025-11-13 08:25:12.655 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 102] Avg loss: 0.186327
2025-11-13 08:30:58.924 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 103] Avg loss: 0.185959
2025-11-13 08:36:44.164 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 104] Avg loss: 0.185807
2025-11-13 08:42:29.524 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 105] Avg loss: 0.184886
2025-11-13 08:48:15.611 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 106] Avg loss: 0.185196
2025-11-13 08:54:01.025 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 107] Avg loss: 0.184224
2025-11-13 08:59:46.064 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 108] Avg loss: 0.184510
2025-11-13 09:05:31.255 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 109] Avg loss: 0.183964
2025-11-13 09:11:15.876 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 110] Avg loss: 0.185318
2025-11-13 09:17:00.083 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 111] Avg loss: 0.183972
2025-11-13 09:22:45.796 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 112] Avg loss: 0.184346
2025-11-13 09:28:31.067 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 113] Avg loss: 0.183550
2025-11-13 09:34:16.129 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 114] Avg loss: 0.183661
2025-11-13 09:40:01.547 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 115] Avg loss: 0.182833
2025-11-13 09:45:45.752 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 116] Avg loss: 0.183476
2025-11-13 09:51:30.023 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 117] Avg loss: 0.183054
2025-11-13 09:57:16.017 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 118] Avg loss: 0.183068
2025-11-13 10:03:01.609 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 119] Avg loss: 0.183042
2025-11-13 10:08:47.073 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 120] Avg loss: 0.182816
2025-11-13 10:14:34.292 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 121] Avg loss: 0.181107
2025-11-13 10:20:20.256 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 122] Avg loss: 0.181223
2025-11-13 10:26:06.165 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 123] Avg loss: 0.182008
2025-11-13 10:31:53.594 | DEBUG    | src.hold.hold:training_epoch_end:3316 - [Epoch 124] Avg loss: 0.181377
